title,author,genre,rating,price,year,reviews,amazon_year
First 100 Words: A Padded Board Book,Roger Priddy,Vocabulary & Spelling,4.7,3..88,2011,"38,702 ratings",2015
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,"Cleaning, Caretaking & Relocating",4.5,9..42,2017,"59,251 ratings",2015
Laugh-Out-Loud Jokes for Kids,Rob Elliott,Humorous,4.6,4..64,2022,"12,124 ratings",2015
Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,Johanna Basford,Use of Color,4.7,10..18,2013,"15,936 ratings",2015
StrengthsFinder 2.0,Gallup,Management,4.1,28..52,2007,"8,423 ratings",2015
Go Set a Watchman: A Novel,Harper Lee,Cultural Heritage,3.8,12..95,2018,"54,070 ratings",2015
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)",Johanna Basford,Coloring Books,4.8,14..19,2015,"8,419 ratings",2015
All the Light We Cannot See,Anthony Doerr,World War II & Holocaust,4.5,12..93,2014,"232,429 ratings",2015
The Girl on the Train,Paula Hawkins,Suspense,4.1,12..19,2014,"494,408 ratings",2015
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,Use of Color,4.5,9..95,2015,"4,363 ratings",2015
Diary of a Wimpy Kid #10: Old School,Jeff Kinney,School,4.7,8..68,2002,"33,749 ratings",2015
To Kill a Mockingbird,Harper Lee,Classics,4.7,21..68,1960,"141,116 ratings",2015
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,Use of Color,4.6,9..95,2021,"4,001 ratings",2015
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",Coloring Books for Adults,Animals,4.5,8..99,2015,"3,203 ratings",2015
Humans of New York : Stories,Brandon Stanton,Cities,4.8,14..24,2015,"5,437 ratings",2015
The Martian,Andy Weir,"Mystery, Thriller & Suspense",4.6,8..99,1950,"176,360 ratings",2015
"Oh, the Places You'll Go!",Dr. Seuss,Classics,4.9,8..48,1990,"52,231 ratings",2015
Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays),Rob Elliott,Questions & Answers,4.5,4..64,2021,"6,123 ratings",2015
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,Zoos,4.8,4..84,2007,"31,173 ratings",2015
The Day the Crayons Quit,Drew Daywalt,Fiction,4.8,9..50,2013,"24,358 ratings",2015
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,State & Local,4.6,10..60,2019,"91,162 ratings",2015
"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,New Testament,4.9,9..09,2004,"41,717 ratings",2015
Mindset: The New Psychology of Success,Carol S. Dweck,Personal Finance,4.6,10..65,2021,"22,371 ratings",2015
"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series, 4)",E L James,Contemporary,4.5,12..12,2015,"118,522 ratings",2015
Creative Haven Creative Cats Coloring Book (Adult Coloring Books: Pets),Marjorie Sarnat,Use of Color,4.8,6..50,2015,"5,290 ratings",2015
How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,Unknown,4.7,9..99,1913,"34,769 ratings",2015
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,Love & Romance,4.8,6..23,2016,"93,996 ratings",2015
Balance (Angie’s Extreme Stress Menders),Angie Grace,Papercrafts,4.6,11..95,2015,"2,295 ratings",2015
Creative Haven Owls Coloring Book (Adult Coloring Books: Animals),Marjorie Sarnat,Use of Color,4.7,5..38,2015,"5,375 ratings",2015
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,Vegan,4.6,14..93,2014,"15,132 ratings",2015
First 100 Words: A Padded Board Book,Roger Priddy,Vocabulary & Spelling,4.7,3..88,2011,"38,702 ratings",2015
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,"Cleaning, Caretaking & Relocating",4.5,9..42,2017,"59,251 ratings",2015
Laugh-Out-Loud Jokes for Kids,Rob Elliott,Humorous,4.6,4..64,2022,"12,124 ratings",2015
Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,Johanna Basford,Use of Color,4.7,10..18,2013,"15,936 ratings",2015
StrengthsFinder 2.0,Gallup,Management,4.1,28..52,2007,"8,423 ratings",2015
Go Set a Watchman: A Novel,Harper Lee,Cultural Heritage,3.8,12..95,2018,"54,070 ratings",2015
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)",Johanna Basford,Coloring Books,4.8,14..19,2015,"8,419 ratings",2015
All the Light We Cannot See,Anthony Doerr,World War II & Holocaust,4.5,12..93,2014,"232,429 ratings",2015
The Girl on the Train,Paula Hawkins,Suspense,4.1,12..19,2014,"494,408 ratings",2015
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,Use of Color,4.5,9..95,2015,"4,363 ratings",2015
Diary of a Wimpy Kid #10: Old School,Jeff Kinney,School,4.7,8..68,2002,"33,749 ratings",2015
To Kill a Mockingbird,Harper Lee,Classics,4.7,21..68,1960,"141,116 ratings",2015
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,Use of Color,4.6,9..95,2021,"4,001 ratings",2015
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",Coloring Books for Adults,Animals,4.5,8..99,2015,"3,203 ratings",2015
Humans of New York : Stories,Brandon Stanton,Cities,4.8,14..24,2015,"5,437 ratings",2015
The Martian,Andy Weir,"Mystery, Thriller & Suspense",4.6,8..99,1950,"176,360 ratings",2015
"Oh, the Places You'll Go!",Dr. Seuss,Classics,4.9,8..48,1990,"52,231 ratings",2015
Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays),Rob Elliott,Questions & Answers,4.5,4..64,2021,"6,123 ratings",2015
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,Zoos,4.8,4..84,2007,"31,173 ratings",2015
The Day the Crayons Quit,Drew Daywalt,Fiction,4.8,9..50,2013,"24,358 ratings",2015
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,State & Local,4.6,10..60,2019,"91,162 ratings",2015
"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,New Testament,4.9,9..09,2004,"41,717 ratings",2015
Mindset: The New Psychology of Success,Carol S. Dweck,Personal Finance,4.6,10..65,2021,"22,371 ratings",2015
"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series, 4)",E L James,Contemporary,4.5,12..12,2015,"118,522 ratings",2015
Creative Haven Creative Cats Coloring Book (Adult Coloring Books: Pets),Marjorie Sarnat,Use of Color,4.8,6..50,2015,"5,290 ratings",2015
How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,Unknown,4.7,9..99,1913,"34,769 ratings",2015
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,Love & Romance,4.8,6..23,2016,"93,996 ratings",2015
Balance (Angie’s Extreme Stress Menders),Angie Grace,Papercrafts,4.6,11..95,2015,"2,295 ratings",2015
Creative Haven Owls Coloring Book (Adult Coloring Books: Animals),Marjorie Sarnat,Use of Color,4.7,5..38,2015,"5,375 ratings",2015
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,Vegan,4.6,14..93,2014,"15,132 ratings",2015
